id_pessoa,idade_pessoa,renda_pessoa,propriedade_residencial_pessoa,tempo_emprego_pessoa,id_emprestimo,motivo_emprestimo,nota_emprestimo,quantia_emprestimo,taxa_emprestimo,status_emprestimo,percentual_renda_emprestimo,id_banco,existencia_inadimplencia_banco,tempo_primeiro_credito_banco
SWiIGmFJ-9O2p,24.0000,59000.0000,Mortgage,3,vFUXndwK-Wn6z,Education,C,6800.0000,12.53,1,0.12,rbOXYs38-xaHK,N,2.0000
zyx16tY7-IgdM,28.0000,51996.0000,Rent,1,woXbk7Te-ylPD,Personal,C,5000.0000,11.013104465037149,0,0.1,eZLR9lTe-4UYF,N,6.0000
vehuJXiA-ATA5,23.0000,45000.0000,Rent,7,mSU3LScL-dZtu,Personal,C,15000.0000,12.84,1,0.33,rfukoeZ3-yLWo,N,3.0000
2N4DG9Nj-dQHI,23.0000,34900.0000,Mortgage,2,QX9jlX8o-n1xW,Medical,F,4000.0000,11.013104465037149,1,0.11,g1Rgy9qj-A43E,Y,4.0000
Ei9eT6T3-oqHi,31.0000,125000.0000,Mortgage,5,rju0Uqoz-nbDv,Medical,B,18000.0000,11.99,0,0.14,tzfOZarN-z6O7,N,7.0000
l2XORtsh-eygI,22.0000,46000.0000,Rent,3,CpSEyKSE-7iu1,Debtconsolidation,B,11000.0000,10.59,0,0.24,HttUqFDq-rztl,N,2.0000
Hl3MFQEt-I1Ki,22.0000,24000.0000,Own,5,WmwGCL62-wElg,Medical,B,8000.0000,9.91,0,0.33,O6FNhK0Z-3uK9,N,2.0000
3qFo2ahN-ALQJ,27.0000,30000.0000,Rent,2,DH7QYIU3-jkni,Education,A,9590.5644,11.013104465037149,1,0.04,P5JWjFn0-FShu,N,3.0000
WAGB21aw-uPDz,27.0000,59000.0000,Mortgage,11,2LJhtQim-YvRG,Homeimprovement,C,16000.0000,13.98,0,0.27,TUqFbIKb-JQJq,N,10.0000
swTFNhE5-clvz,24.0000,54000.0000,Rent,7,gILMJoBh-iCxw,Medical,A,8000.0000,7.88,0,0.15,3KkFtZUC-w7Ml,N,3.0000
GLh5YiG0-B1U7,28.0000,101000.0000,Mortgage,8,BlySr4w0-ijJ1,Medical,A,15000.0000,8.94,0,0.15,jX2oPBpQ-kKW9,N,9.0000
ILyU2IZi-y3BZ,24.0000,53184.0000,Mortgage,8,8k8wUGPB-YWJ5,Personal,B,13500.0000,10.99,0,0.25,mmDePPj6-ENhs,N,4.0000
AfhKso3F-Ccqn,29.0000,128000.0000,Rent,0,6b6ctjuS-ozIU,Education,A,15000.0000,9.63,1,0.12,eAKQ0wld-MKDU,N,9.0000
d3KQ9THC-T8gb,27.0000,46800.0000,Mortgage,5,UCvb1sZY-ZPTa,Education,B,6000.0000,9.99,0,0.13,M9KHwKem-meO6,N,6.0000
gdujamT8-ZEwB,22.0000,30000.0000,Rent,0,HhPdAjRt-fc3O,Education,B,5000.0000,11.49,0,0.17,bhSAMvHq-IklM,N,2.0000
JaGqnqUt-z6JX,25.0000,123996.0000,Own,9,ZTMS56dj-nhMJ,Homeimprovement,A,10000.0000,6.54,0,0.08,38UM4JAF-w16S,N,3.0000
8aMeMnfc-KvkP,27.0000,19200.0000,Mortgage,3,ue2b8Fwq-Oq4R,Debtconsolidation,D,1400.0000,16.77,1,0.07,6jdlMHSA-J6ol,Y,6.0000
LL6n62nU-cGq6,27.0000,60000.0000,Mortgage,3,k06FeAlM-2k9d,Education,A,5075.0000,5.99,0,0.08,H8pkhMFg-3kO8,N,8.0000
Z3N05o5j-74p9,27.0000,60000.0000,Mortgage,6,4ti6SyNC-4krA,Venture,B,5100.0000,11.49,0,0.09,6dH2obNc-D2Bp,N,6.0000
UoWpYHCp-6tZ5,23.0000,41000.0000,Rent,6,8AtJI9pD-KYqp,Personal,C,4500.0000,12.99,0,0.11,LfeGeAIE-UvG4,N,4.0000
H9r0w4cw-Hv8W,26.0000,25000.0000,Mortgage,1,7B0YKTxi-IFgk,Venture,C,12000.0000,12.09,1,0.48,srtfMXFh-PQ8J,N,2.0000
nEDW4Fq7-31M3,23.0000,48152.0000,Mortgage,7,zL0RMYbD-GUXA,Medical,A,9500.0000,7.29,0,0.2,5MA4zfUF-R3Ls,N,2.0000
LYgJ8btz-zq13,25.0000,70000.0000,Mortgage,6,keTWB4tL-QmKk,Venture,A,14000.0000,5.42,0,0.2,ILlYjmlM-wLen,N,2.0000
gv8kBhW3-t5TJ,24.0000,40800.0000,Mortgage,1,JyIxnoNx-swN7,Education,D,6000.0000,12.92,0,0.15,LpDpTZZE-KOmt,N,3.0000
2an0R63H-aIFr,31.0000,72000.0000,Rent,15,ZEgHhhgR-6tjD,Homeimprovement,C,6000.0000,13.23,0,0.08,xu1x0ZNs-bC3r,N,5.0000
jZCrvwR0-4pgX,24.0000,33000.0000,Rent,1,16TGij7M-chsD,Debtconsolidation,B,20000.0000,10.99,1,0.61,N2D56UBd-sXmR,N,3.0000
hHLuK3WA-R9P3,24.0000,65000.0000,Rent,2,jeqt8Bpo-rD4W,Homeimprovement,B,11400.0000,11.89,0,0.18,Ly164swC-gZja,N,3.0000
g7WIshKh-Ejgw,29.0000,29496.0000,Rent,5,ZhJeyqPB-Red7,Venture,A,6000.0000,5.79,0,0.2,sedsoWh3-ByiL,N,8.0000
3IqbdS0z-z7pK,36.0000,32642.0000,Mortgage,18,OQjv1WsO-soso,Debtconsolidation,B,8500.0000,11.49,0,0.26,EYZd1mp2-L6Yn,N,12.0000
gsQg5UxB-v95S,22.0000,30000.0000,Rent,3,DngchrtS-8qCk,Venture,B,8000.0000,12.53,0,0.27,obAHzHB5-rjiG,N,2.0000
LKiKggEx-MjKR,22.0000,30000.0000,Rent,0,dfGkAoYP-BI5v,Venture,D,4000.0000,15.21,1,0.13,iioeqFPd-2al9,N,2.0000
RJtWbAqj-3G6B,31.0000,48000.0000,Mortgage,0,XkPUnzqe-OdvF,Medical,A,7800.0000,7.51,0,0.16,UXEtTxav-I76c,N,10.0000
8PSZQPKa-sCfi,28.0000,53500.0000,Rent,4,896XXIPL-a3rA,Venture,B,5000.0000,12.18,0,0.09,pk4mm6oB-sn63,N,5.0000
zPbwFo63-lQUe,30.0000,70000.0000,Rent,0,sXAUOZQs-H6ke,Personal,C,15000.0000,13.61,0,0.21,Wv5CSxlW-Xndv,Y,8.0000
KX4vKkAz-4ZeO,22.0000,60000.0000,Rent,2,IDaNQq1U-2Zjn,Medical,B,10000.0000,11.71,0,0.17,smqN9ECK-11fo,N,2.0000
oPWmxWvH-8ukE,23.0000,89204.0000,Mortgage,5,ft2KPFHA-33G9,Education,A,18000.0000,7.9,0,0.2,EJDqKDlF-bQht,N,4.0000
nJylfdE4-iNkE,24.0000,55200.0000,Mortgage,0,Q0qaWrvL-GHGS,Medical,D,6000.0000,14.42,1,0.11,ygZBjJl2-eyzx,Y,2.0000
Q5JHiKZj-oDKp,35.0000,50000.0000,Rent,4,KMism4Us-r3D7,Personal,B,7000.0000,11.49,0,0.14,E5ZXh4Z6-Dbfn,N,9.0000
GOLHLMnp-kGSQ,27.0000,52600.0000,Mortgage,2,L3aJ8pnj-o06p,Personal,D,21600.0000,17.27,1,0.41,AB0z8xwI-D2aN,N,9.0000
7NHTnhPS-57es,26.0000,67000.0000,Mortgage,2,bRiDzH6X-mxgM,Debtconsolidation,D,6500.0000,14.11,1,0.1,3p2lL154-tZyW,Y,2.0000
HZBv0twZ-F4DS,26.0000,27000.0000,Rent,0,XyzCIplR-3nay,Education,C,2500.0000,13.61,0,0.09,7BIcFHu4-FOAd,N,4.0000
hMDknGWQ-MC0b,23.0000,66000.0000,Mortgage,7,i6Ra2DHe-gL2x,Debtconsolidation,D,4000.0000,15.62,1,0.06,3X02mAFs-rdzD,Y,4.0000
IKXn1JB2-vdcd,23.0000,195000.0000,Mortgage,0,kkmTB2CM-WuDq,Education,B,20000.0000,9.63,0,0.1,M2ImeLYD-T082,N,3.0000
n4459N07-MoUu,23.0000,65000.0000,Rent,7,M52Ez4jY-Rk9E,Personal,D,16000.0000,14.59,0,0.25,vCpbBa7G-PbOq,N,4.0000
wtet8wvt-nuGQ,30.0000,60000.0000,Mortgage,5,tFH2Y7lF-YRf6,Venture,A,4000.0000,6.99,0,0.07,CcMyso5a-9Ufa,N,7.0000
S4CUoj9f-e12u,30.0000,98000.0000,Mortgage,2,IlDKH7pX-H5NH,Homeimprovement,A,5000.0000,7.14,0,0.05,z4tkeEWx-exn6,N,5.0000
FUkiGGWb-Xn1J,29.0000,60000.0000,Rent,4,EvnLy6C8-WYb4,Debtconsolidation,A,10000.0000,8.59,0,0.17,Emg1hajA-7iry,N,5.0000
c23mpsxk-15Mg,22.0000,11760.0000,Rent,0,RWMbRpDA-pBQ8,Venture,C,1000.0000,13.98,0,0.09,E2mYmivY-EiAe,N,4.0000
F2jaECG3-GjPy,34.0000,148000.0000,Rent,0,fQvIa3Qf-nckz,Homeimprovement,B,20000.0000,11.013104465037149,1,0.14,jGtGO1FU-DGHj,N,6.0000
vnNmr2pN-4eeu,36.0000,16908.0000,Mortgage,4.787874228975478,ey7skbKo-xBS3,Medical,A,3000.0000,5.42,1,0.18,ePTcDB1Y-5JUZ,N,11.0000
Fc1nA8nt-hydK,22.0000,52000.0000,Rent,1,xs5O1csU-mbss,Venture,A,5000.0000,6.99,0,0.1,8jG22spj-aNM6,N,4.0000
5aTdxbrI-FyK1,25.0000,40000.0000,Mortgage,5,2GN3YCaO-DD5j,Homeimprovement,B,15000.0000,11.36,1,0.38,ol370xS8-WLB3,N,2.0000
ocoJgX6Y-pgIg,34.0000,40000.0000,Rent,2,wDhzcYmW-zOlR,Venture,C,13200.0000,11.013104465037149,1,0.33,n8XJ3QWw-FBdh,Y,6.0000
MZrXb5MH-waha,29.0000,44000.0000,Rent,8,ZRckuJmd-Uee8,Venture,A,11000.0000,7.29,0,0.25,jW6XHNor-MSIr,N,6.0000
u30XkOp7-AJmH,26.0000,45000.0000,Rent,3,YIZDhHKL-R1xd,Venture,B,1500.0000,10.25,0,0.03,92GaL4vg-ET8K,N,3.0000
2bicPcgm-DAD0,26.0000,41784.0000,Rent,0,rHvL1UG9-FCzH,Education,B,11500.0000,10.95,0,0.28,jjXI4lr3-Fjy1,N,4.0000
9e6sjUiY-6jyE,27.0000,127000.0000,Mortgage,6,YReC4MM8-Sr8T,Venture,B,21000.0000,10.99,0,0.17,poktU9XL-EbQe,N,5.0000
KfKwaPso-nQl8,22.0000,45000.0000,Rent,3,ogBAlG1w-sRvM,Education,B,5500.0000,10.38,0,0.12,b7kHtjLw-vcFA,N,2.0000
aarqfWOO-CRCX,36.0000,32400.0000,Mortgage,20,cIQyutFS-w6PN,Personal,D,6600.0000,13.24,0,0.2,eBQPDeUm-PpWg,Y,11.0000
lp4aggle-xkwJ,23.0000,78000.0000,Rent,1,sXtiwLvD-qZei,Homeimprovement,D,12000.0000,14.96,1,0.15,NHALqM9h-P8I4,N,4.0000
kX8OwLGR-ZmR4,25.0000,77078.0000,Mortgage,1,YGExp74W-8NzS,Debtconsolidation,B,3425.0000,12.18,0,0.04,i9Z88kOZ-HQml,N,4.0000
KESxRkUJ-3eGm,25.0000,40000.0000,Mortgage,9,yyEMiEXA-ScYg,Debtconsolidation,C,3500.0000,13.49,0,0.09,sMzCGpBP-q0Wh,N,3.0000
GqpteuQm-C6rJ,35.0000,26400.0000,Rent,2,iTtUGkMq-AbI1,Debtconsolidation,D,6000.0000,16.29,1,0.23,B1n4Hspg-BNNT,Y,8.0000
QRkEuGm7-6zrG,25.0000,20000.0000,Mortgage,1,J32cvf80-gMp2,Venture,A,4000.0000,5.79,0,0.2,K0r9yzE2-Ry3n,N,2.0000
S2jtsMOK-EZmy,25.0000,48074.0000,Rent,4,Fx4DLnMP-Sriy,Education,C,12000.0000,13.85,0,0.25,w0tkPHe4-sjJ2,Y,4.0000
ipvRO3ye-P36D,23.0000,110000.0000,Mortgage,8,jxnZgFzg-A94j,Venture,A,7800.0000,11.013104465037149,0,0.07,SzNzpxGO-rJwL,N,4.0000
By1YS88j-Ytpl,25.0000,41000.0000,Rent,3,on5loHqd-7gfk,Personal,B,8000.0000,10.99,0,0.2,4p9ngreB-HxKy,N,2.0000
TQiCUNee-UcqC,25.0000,85000.0000,Rent,5,H00UsOWc-oWLE,Debtconsolidation,B,12000.0000,12.42,0,0.14,xNnwl64p-pvrK,N,4.0000
764lb3kO-6MHd,21.0000,120000.0000,Rent,4,L8NqKK3W-g5ru,Debtconsolidation,B,10000.0000,9.99,0,0.08,QOYxArGI-RGnP,N,3.0000
8ftDwU7v-cDBt,23.0000,54000.0000,Rent,2,QzuJ73CC-6dvt,Personal,F,9600.0000,20.62,1,0.18,ZpgHDFEu-rWUq,Y,2.0000
uEkmD2ce-bPHs,29.0000,75000.0000,Mortgage,9,Rd4mGHir-pFQJ,Personal,B,8000.0000,11.99,0,0.11,At3lZtBM-fKn2,N,5.0000
8ISKXl0c-Mjuh,24.0000,53800.0000,Mortgage,4,uaEQYrGb-txt7,Debtconsolidation,B,6000.0000,10.99,0,0.11,kmjtLQtS-mki9,N,2.0000
wgqHzIOc-Fnsv,25.0000,48000.0000,Rent,0,FSQeyx1G-6QdU,Venture,A,4000.0000,7.29,0,0.08,8dNTdUmo-Qown,N,4.0000
gmG7RYBO-zG9S,35.0000,81000.0000,Mortgage,15,jyC9cxSG-xlOI,Debtconsolidation,B,5400.0000,11.013104465037149,0,0.07,xj0vINYQ-EI2a,N,5.0000
3ssBLr7n-ye5A,32.0000,64000.0000,Rent,1,8M1MoxNe-otUe,Education,B,13000.0000,10.99,0,0.2,okkGgdbp-9PRW,N,9.0000
XBJ8DkUO-RPPX,21.0000,32400.0000,Mortgage,5,uRsNkiPv-PWyz,Personal,E,5000.0000,16,1,0.15,bLUDmAfl-2yP4,N,2.0000
ShSGOEFc-dX8i,25.0000,19800.0000,Rent,0,AggZqfcb-aMBO,Debtconsolidation,C,5000.0000,13.49,1,0.25,4mIr3Jfl-NYeT,Y,4.0000
tgpC0sed-SQeB,25.0000,49000.0000,Own,6,sfx0i9yt-D21t,Personal,C,3000.0000,11.013104465037149,0,0.06,amHd2PB1-IDNo,N,4.0000
nFwvI2jA-Txdn,25.0000,153600.0000,Mortgage,1,99xnGHbr-ImBB,Debtconsolidation,A,18000.0000,6.99,0,0.12,vnHUq6h4-Trfc,N,2.0000
SYGmgAig-zQNX,27.0000,15120.0000,Rent,6,6gundMoE-1TJ3,Personal,B,3050.0000,10.38,1,0.2,wOc5KNNu-wwo3,N,5.0000
SAylr7X0-QGjz,22.0000,33000.0000,Rent,4,iPRm65Pz-dZum,Medical,A,6500.0000,6.17,0,0.2,nSPj12WH-yDmA,N,4.0000
8Urmah3b-ZiT8,47.0000,18000.0000,Rent,0,1ez5bpYi-gnKK,Homeimprovement,D,1000.0000,14.84,1,0.06,AQPc8WNE-17Sd,Y,16.0000
gtDSrSOc-kYcu,23.0000,47800.0000,Mortgage,4,ceAgKh8n-3CmZ,Medical,B,18000.0000,10.95,1,0.38,i1sOmpwW-YouD,N,3.0000
unnHaCjq-u8eW,66.0000,300000.0000,Mortgage,3,7EHyf4d5-Nd7c,Personal,A,28000.0000,6.62,0,0.09,MafaK6Sy-Ilh4,N,23.0000
uJ0qKtH4-J0wh,40.0000,45000.0000,Rent,15,39cz42Mi-DcEW,Education,B,24000.0000,10.65,1,0.53,dx05S8W3-fxCx,N,11.0000
x2ZE3XCw-269O,30.0000,46080.0000,Rent,0,R3s0L6f5-nihc,Personal,A,2000.0000,6.99,0,0.04,P1fieBcQ-fWCv,N,8.0000
jp5DR2Id-2b4S,31.0000,30000.0000,Rent,5,FqogJp8F-ykNi,Medical,B,1000.0000,9.25,0,0.03,17uZh38o-nNGm,N,6.0000
8Hrn39XB-KM0Z,28.0000,38000.0000,Rent,8,m6B5J6er-itsZ,Debtconsolidation,B,9000.0000,9.96,0,0.24,SRlngjyf-ekBJ,N,9.0000
F4uqrwfS-GTCn,28.0000,106358.0000,Mortgage,5,fqbe0hdt-THbk,Education,A,13125.0000,7.66,0,0.12,hvX52v3H-EKC2,N,7.0000
OdJx3Dvp-xu1X,23.0000,76000.0000,Mortgage,8,YwyeDzH6-u0QH,Debtconsolidation,B,6000.0000,11.49,1,0.08,ZloB7dhv-bbH1,N,2.0000
xBib0gmI-ILmt,24.0000,24000.0000,Rent,1,8SWqrzBd-WwrS,Homeimprovement,D,2000.0000,14.61,1,0.08,nNyyeQ2f-22Kt,Y,2.0000
9Dim283Z-uoGR,28.0000,25200.0000,Rent,5,oux2Dqe8-6Ppp,Personal,D,11500.0000,14.46,1,0.46,jqZX6Poz-DjYI,Y,6.0000
g1cA2K1y-slB6,24.0000,24000.0000,Rent,0,DNgBiGPd-spHg,Venture,E,2000.0000,16,1,0.08,DthavhUi-jsrD,Y,2.0000
DcDIFjZz-6oLR,22.0000,45000.0000,Own,6,3MkX0Tt6-DM9j,Education,A,4750.0000,6.39,0,0.11,TlTb5S09-2sjT,N,4.0000
bxC5W30A-MRxw,23.0000,35000.0000,Rent,6,qbaABh4Y-2fJX,Debtconsolidation,B,1500.0000,8.88,0,0.04,hMa8GDDP-mjbS,N,3.0000
nsP9oDZx-hBnd,37.0000,45000.0000,Own,5,RurABKJ6-XMM0,Venture,A,10800.0000,6.03,0,0.24,S844zjup-FfSY,N,14.0000
r0QG5p1X-NYFN,28.0000,40000.0000,Mortgage,10,5AcMPLgk-Guht,Debtconsolidation,B,10000.0000,11.26,0,0.25,PD9XJ3Fg-cwoY,N,6.0000
Sa2DdFsl-veL0,29.0000,60000.0000,Rent,5,MrZKBaj1-gQNK,Medical,A,10000.0000,7.88,0,0.17,vhWPSyS6-11KW,N,8.0000
sF4uRvLe-egsj,25.0000,61959.0000,Rent,9,EHMMEouU-mY0s,Education,C,25000.0000,12.73,1,0.4,ZhbPKDsk-bOej,Y,4.0000
QoW8hvrH-8W8k,32.0000,227500.0000,Rent,3,7iISmN55-jEyt,Medical,C,25000.0000,12.53,0,0.11,Ob1KZ3i1-pyfx,N,5.0000
zGLMI6Gz-N5rH,22.0000,108000.0000,Rent,1,bDDDgRg5-9zw1,Personal,D,8000.0000,16.29,1,0.07,uQibZPNx-UgEF,Y,2.0000
qvOWAmly-Gkec,29.0000,96000.0000,Mortgage,2,6bN7c0to-yXKX,Homeimprovement,A,10000.0000,11.013104465037149,0,0.1,RDizwxMA-byGm,N,5.0000
4UNzGHl2-KGaJ,39.0000,72000.0000,Mortgage,9,ImbhPypy-gRt6,Debtconsolidation,B,15000.0000,11.86,0,0.21,lk4yNchK-bmQ4,N,15.0000
vEDe1BHy-PIHP,35.0000,100000.0000,Mortgage,13,a6nC4iMm-u25i,Education,F,12000.0000,15.76,0,0.12,Em6cTKBb-msRa,N,6.0000
8kwQORpo-p5LF,23.0000,42000.0000,Mortgage,7,QNIR7QNx-xILP,Education,A,10500.0000,7.66,1,0.25,XDH0cJ8d-1y4e,N,2.0000
jv2lcel5-wFXt,29.0000,47133.0000,Rent,5,6MJqkIrJ-9qeH,Medical,B,5100.0000,11.86,0,0.11,tiaMiCqZ-kcAk,N,7.0000
Fpyry294-usfZ,23.0000,37000.0000,Rent,4,KkN5fWGu-MTfu,Personal,C,10000.0000,13.23,0,0.27,bp2LZ2Nw-l7bg,N,3.0000
KM3o2DSI-kKxf,22.0000,126500.0000,Rent,1,5A1xQAWh-Ulzx,Debtconsolidation,C,19200.0000,13.79,0,0.15,2q9YyqmN-c4c9,Y,3.0000
wwLKi4Ro-GUJg,32.0000,68000.0000,Mortgage,6,kwy8l6Nb-49JU,Education,C,1000.0000,14.72,1,0.01,mLmhEHhI-hOuM,Y,9.0000
WxbsddLX-16Ok,34.0000,60000.0000,Rent,1,A0wzG4hq-KJ7T,Education,B,10000.0000,9.62,0,0.17,xIZ02Rds-vthd,N,9.0000
kT7oDkke-FG6z,22.0000,30288.0000,Mortgage,2,Z3ka3D4D-WLCe,Education,C,6000.0000,12.73,0,0.2,pO21B4XB-vPra,N,2.0000
bLUObR5f-7iOh,26.0000,98000.0000,Mortgage,7,m3fTvyAr-qCgq,Venture,A,14000.0000,7.88,0,0.14,G6gbe0sj-jX0c,N,3.0000
UXoOKh8a-aYmf,27.0000,60000.0000,Rent,2,JywwFeJM-AY5v,Venture,B,9200.0000,12.42,0,0.15,DmY7GDNP-hr2h,N,7.0000
Dz2pvs5D-bR1v,22.0000,42500.0000,Rent,0,Zi9CtlPW-6x4B,Education,A,7500.0000,7.9,0,0.18,ecasrutY-9GWx,N,2.0000
p1G6liJe-Hrww,26.0000,71000.0000,Rent,9,XHsXc9aU-05p2,Medical,B,3000.0000,11.013104465037149,0,0.04,HaEa3UUv-sHDz,N,4.0000
WjTiSAxj-YQap,31.0000,60000.0000,Mortgage,15,MP5f2DYv-JMy3,Debtconsolidation,B,5100.0000,10.75,0,0.09,0lXxk1T3-1h5o,N,8.0000
bkSbiNE1-kdDL,27.0000,100000.0000,Mortgage,0,EW1oB16L-Sh0b,Personal,A,6575.0000,5.79,0,0.07,dx2Rxq9g-QLcH,N,6.0000
0vxL1Ku4-CWla,25.0000,100000.0000,Mortgage,9,Zfjufo6C-Nq2Q,Medical,A,12000.0000,8.94,0,0.12,Oakke7dm-b2i2,N,4.0000
98ONkvzL-oDpw,33.0000,82000.0000,Mortgage,2,6lvKGKLS-DlJc,Venture,A,6000.0000,7.51,0,0.07,XZUu9ivD-aADA,N,6.0000
JqNAJ85i-r1Xa,29.0000,265000.0000,Mortgage,2,BwJebdCZ-J1lg,Personal,B,25000.0000,11.26,0,0.09,YivwOw3X-ri3J,N,10.0000
ISPU2ef8-4hJw,41.0000,60000.0000,Mortgage,3,bUKvcmGL-IKxs,Personal,E,16800.0000,17.99,0,0.28,0xuzqaat-pQcy,Y,16.0000
mMpAHp7k-6jal,24.0000,83000.0000,Mortgage,6,XPEoaEtP-ZnHO,Medical,A,15000.0000,6.91,0,0.18,Hc7UQr89-8oCo,N,4.0000
oWqAC6bo-uHRI,21.0000,60000.0000,Rent,6,NSqyAwNO-Aytm,Education,B,25000.0000,10.99,1,0.42,sLHa0ymx-2jrs,N,4.0000
Wx8yLMFr-QjEF,39.0000,28650.0000,Mortgage,1,zQD3UN2G-x3li,Medical,B,8000.0000,10.37,0,0.28,5KalnTkN-vz9R,N,14.0000
47FYEEWq-xMTv,21.0000,35360.0000,Rent,1,nGeCzrGT-1SjO,Education,A,2200.0000,7.49,0,0.06,Qyk6RZ8O-QexI,N,2.0000
PsEa2AjM-yjqv,32.0000,48000.0000,Rent,8,ckaFmTB5-n08G,Debtconsolidation,C,5000.0000,11.97,0,0.1,XFj2veYn-sTtb,Y,10.0000
vfi3QIA9-GJdx,24.0000,102000.0000,Mortgage,7,N2ACWjoc-4EdM,Medical,B,7200.0000,11.013104465037149,0,0.07,JWrzsiGj-UUxK,N,3.0000
XuNDsBWH-J2jY,26.0000,50049.0000,Rent,5,PefGuysE-GEq1,Debtconsolidation,C,8000.0000,12.99,0,0.16,xpza7FYn-SBRl,N,3.0000
9jF48GzF-RiCo,29.0000,42000.0000,Rent,3,1qzICIwg-QYzD,Medical,D,5000.0000,15.99,0,0.12,euMIaBJT-3B3J,Y,6.0000
AB6ZOmSu-Fw6U,29.0000,64402.0000,Rent,1,gFi0XMM5-TWq8,Debtconsolidation,A,13500.0000,7.49,0,0.21,dkwDwLUl-U9fh,N,8.0000
rmB4ztrf-Oqjp,22.0000,60500.0000,Rent,3,4tLRJKpw-Mm0k,Debtconsolidation,C,7000.0000,12.84,0,0.12,agTIomnK-Q3xs,N,2.0000
g1ydnQw4-igNM,31.0000,95004.0000,Mortgage,3,SQnfUar6-0dmj,Personal,D,9590.5644,15.99,1,0.17022825037310413,CgfQrmwn-74Az,N,8.0000
APfs5oz1-M1Qk,38.0000,75996.0000,Mortgage,12,QyvanbsI-Hsly,Debtconsolidation,A,3500.0000,7.29,0,0.05,DRXz9WxT-TeHE,N,13.0000
QSRZSdL5-jtES,23.0000,72000.0000,Rent,3,JBWPTMt8-Cl5e,Medical,A,10800.0000,7.88,0,0.15,ZjCfxX7h-tiW9,N,2.0000
ZIgq37n4-Pk0D,33.0000,121000.0000,Mortgage,0,H0sLyAAo-EemW,Education,C,17600.0000,13.57,0,0.15,JeqanPtr-Ghdc,N,5.0000
Gh3IuXKH-rwjL,23.0000,60000.0000,Mortgage,3,ZQ6r5lN1-Gb82,Medical,A,4500.0000,7.4,0,0.07,TCaikSS2-BBk7,N,3.0000
Fy5jbFBS-j3Ah,30.0000,20000.0000,Rent,14,o6fks6vw-16Gf,Medical,D,5400.0000,14.61,0,0.27,ut7AoI9Y-jd9w,Y,7.0000
K0BaPTEq-WTv8,23.0000,41000.0000,Mortgage,7,FBmJPkL9-WYxl,Venture,D,10000.0000,14.96,0,0.24,WFY2l5Kb-6PJI,Y,2.0000
SIUk21sE-NPmN,27.0000,10400.0000,Own,4.787874228975478,fJRR5kcv-qtf6,Personal,C,4750.0000,14.72,1,0.46,4U6W6jib-Q02W,Y,7.0000
UMJ1fBXy-GE1X,29.0000,200000.0000,Mortgage,7,9s9Hy2Hw-Qfu6,Personal,B,14400.0000,11.14,0,0.07,qj1lsqBj-dCwA,N,7.0000
YTsQNQFH-z91C,22.0000,72000.0000,Rent,1,CsG6ilXL-FadA,Medical,B,5000.0000,11.49,0,0.07,HGteyRIy-0PrW,N,3.0000
Uc9B1cnQ-UC6k,37.0000,42000.0000,Mortgage,0,axTauJqX-OLi7,Medical,C,3000.0000,15.23,0,0.07,mamKJR6Z-ex12,Y,11.0000
quAXYgfx-LjFu,24.0000,51996.0000,Rent,2,im2ieJ42-TYCt,Medical,C,15000.0000,13.22,0,0.29,9mku03JN-XJjY,N,3.0000
X4eg38nF-f8nK,22.0000,45000.0000,Rent,0,qDaFaCrN-xfnt,Education,B,9000.0000,11.48,0,0.2,PTCFj5Bj-7b4h,N,4.0000
CKXGZgHZ-RtMm,24.0000,70000.0000,Rent,4,vtESgAvX-fFNA,Venture,C,10000.0000,12.41,0,0.14,iPDKDS0m-JYXJ,Y,2.0000
w7nrA5qh-DQmQ,30.0000,45600.0000,Mortgage,0,x2v0ueQ3-65Kc,Personal,A,6400.0000,8.94,0,0.14,qPGkRqkB-fAUx,N,7.0000
Ua4SazLd-IJvY,23.0000,30000.0000,Rent,3,tfoHIx0G-GuWt,Personal,B,10000.0000,11.14,1,0.33,pHsoGYO1-PbYQ,N,2.0000
GkRrBNbg-ivNl,21.0000,42500.0000,Rent,3,BtcfZml6-s1mt,Education,C,25000.0000,12.73,1,0.59,inKIHW3p-7kcR,Y,3.0000
yYAv4jEX-80ZK,30.0000,40750.0000,Rent,2,IuUksGUR-Sivr,Debtconsolidation,D,3000.0000,15.28,1,0.07,OYkHJ5pX-Ibkn,N,10.0000
OuqxYmdl-0eTT,25.0000,39600.0000,Mortgage,9,Gd0Dxu0b-c8FQ,Personal,B,5000.0000,8.88,0,0.13,LpYCYa65-i3dN,N,3.0000
l6L4P81A-dyBn,23.0000,65000.0000,Mortgage,7,oThKXaRq-QLFq,Venture,A,14400.0000,7.51,0,0.22,b89N8FQu-Zkes,N,3.0000
2D1ZG7Ak-D1uz,29.0000,49000.0000,Rent,3,4uWStFCx-31YX,Personal,C,6000.0000,13.99,1,0.12,CB9omsKB-jKbv,N,6.0000
JLgwkYCL-jO0M,24.0000,85000.0000,Mortgage,7,k46isq0y-xy4g,Venture,A,12000.0000,5.99,0,0.14,TK6ruIs3-q7Zl,N,2.0000
0LfQY76v-Irtk,26.0000,70000.0000,Rent,5,qUJsw3cX-s4ji,Personal,C,4000.0000,13.85,0,0.06,kCfAAoK7-TSQR,N,4.0000
